"SSS","Longitude","Latitude"
"AD1_2007__Hatfield 1 48",-120.13267,39.403
"AD1_2007__Hatfield 1 49",-120.20767,39.43517
"AD1_2007__Hatfield 1 50",-120.20683,39.43467
"AD1_2007__Hatfield 1 51",-120.2085,39.43583
"AD1_2007__Hatfield 1 52",-120.37333,39.486
"AD1_2007__Hatfield 1 53",-120.37333,39.48717
"AD1_2007__Hatfield 1 54",-120.37217,39.48683
"AD1_2007__Hatfield 1 55",-120.345,39.48833
"AD1_2007__Hatfield 1 56",-120.34517,39.48833
"AD1_2007__Hatfield 1 57",-120.34517,39.48767
"AD1_2007__Hatfield 1 58",-120.168058,39.403608
"AD1_2007__Hatfield 1 59",-120.16972,39.404162
"AD1_2007__Hatfield 1 60",-120.169719,39.403892
"AD1_2007__Hatfield 1 61",-120.22633,39.5605
"AD1_2007__Hatfield 1 62",-120.223,39.56417
"AD1_2007__Hatfield 1 63",-120.21833,39.57967
"AD1_2007__Hatfield 1 64",-120.19667,39.55083
"AD1_2007__Hatfield 1 65",-120.20083,39.54933
"AD1_2007__Hatfield 1 66",-120.195,39.54917
"AD1_2007__Hatfield 1 67",-120.2225,39.526
"AD1_2007__Hatfield 1 68",-120.27333,39.53767
"AD1_2007__Hatfield 1 69",-120.26717,39.53833
"AD1_2007__Hatfield 1 70",-120.27917,39.538
"AD1_2007__Hatfield 1 71",-120.21767,39.533
"AD1_2007__Hatfield 1 72",-120.21417,39.53167
"AD1_2007__Hatfield 1 73",-120.23217,39.493
"AD1_2007__Hatfield 1 74",-120.23517,39.49633
"AD1_2007__Hatfield 1 75",-120.23417,39.50217
"AD1_2007__Hatfield 1 76",-120.30667,39.4885
"AD1_2007__Hatfield 1 77",-120.3085,39.48883
"AD1_2007__Hatfield 1 78",-120.30967,39.48883
"AD1_2007__Hatfield 1 79",-120.2905,39.47883
"AD1_2007__Hatfield 1 80",-120.29167,39.47833
"AD1_2007__Hatfield 1 81",-120.29267,39.4785
"AD1_2007__Hatfield 1 82",-120.1925,39.46417
"AD1_2007__Hatfield 1 83",-120.19433,39.4625
"AD1_2007__Hatfield 1 84",-120.191,39.4635
"AD1_2007__Hatfield 1 85",-120.27383,39.46417
"AD1_2007__Hatfield 1 86",-120.27267,39.46267
"AD1_2007__Hatfield 1 87",-120.27333,39.46083
"AD1_2007__Hatfield 1 88",-120.34267,39.46
"AD1_2007__Hatfield 1 89",-120.34333,39.45933
"AD1_2007__Hatfield 1 90",-120.34267,39.45917
"AD1_2007__Hatfield 1 91",-120.34583,39.45417
"AD1_2007__Hatfield 1 92",-120.34583,39.45333
"AD1_2007__Hatfield 1 93",-120.34517,39.45267
"AD1_2007__Hatfield 1 94",-120.25883,39.4325
"AD1_2007__Hatfield 1 95",-120.26383,39.433
"AD1_2007__Hatfield 1 96",-120.26017,39.4335
"AD1_2007__Hatfield 1 97",-120.188,39.40467
"AD1_2007__Hatfield 1 98",-120.18217,39.41217
